variant,method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,harm_rate_mean,alpha_mean,beta_eff_mean,pearson_rho_utility_mean,spearman_rho_utility_mean,top_bottom_utility_gap_mean,wins_vs_backbone,wins_vs_generic,wins_vs_original,wins_vs_alpha_only,delta_mae_vs_final
alpha_only,with hard suppression,0.5031879796749249,0.24700844951078144,0.818108295044241,0.4841245162530859,180,0.33370700212300997,1.5223392532931435,0.7334410150038058,0.3497780472364652,0.2938918317558399,0.04597291065535194,176,180,179,0,0.004556187920829902
backbone,Target Backbone,0.5321341727970078,0.25099778271326006,0.8550353517912981,0.49153805175303816,180,,,,,,,0,18,7,4,0.03350238104291281
fixed_alpha_1p5,fixed alpha,0.5033843684128545,0.24708605455399327,0.818385258146256,0.4842563111352398,180,0.3335836918249492,1.5,0.7227724047849556,0.3496700582937445,0.29378305593036413,0.045950909724665964,176,180,179,1,0.0047525766587595
fixed_beta_0p73,fixed beta,0.502526833415136,0.24552817440569735,0.8167972001361753,0.4829184780736061,180,0.3337283296954409,1.5,0.7300000382744015,0.16663585506011727,0.11907642644063636,0.024746035127383114,177,180,169,80,0.003895041661041043
generic,Generic correction only,0.5224724651377264,0.2531263518227785,0.8445626001057149,0.4935838785740869,180,0.42107524584639544,,,,,,162,0,2,0,0.023840673383631383
no_conflict_suppression,RePAC,0.498631791754095,0.24377969125618978,0.8109758879590626,0.4799931841585327,180,0.3354345405415844,1.5197775807645586,0.9225679746199514,0.3459086227638363,0.29149665080165565,0.045578575217708285,178,180,178,170,0.0
no_physics_direction,w/o prior direction,0.5166178273305342,0.25224095625642906,0.8370869262404376,0.49242852994979325,180,0.0,1.499991593758265,0.584136610008459,,,0.0,164,159,1,1,0.017986035576439185
original,Original prior-correction,0.5076216155321828,0.2489438118910412,0.8244251946039365,0.4871910207568729,180,0.33171958413165203,1.0,0.48634048876378216,0.34877996747956685,0.29446873314299055,0.045784502942115016,173,178,0,1,0.008989823778087769


