backbone,plugin,masked_mae_mean,masked_mae_std,gain_pct_mean,gain_pct_std,gate_mean,delta_abs_mean
MagiNet,GenericAdapter,0.48989165405018714,0.3862870508452176,1.3656306197053076,2.14559417044495,1.0,0.021002175547437545
MagiNet,FailureAnomalyGuard,0.49107920395653804,0.38736139195711883,0.8031625917738787,1.0343644547966655,0.5282150961373716,0.013547123798594065
MagiNet,CalibrationGuard,0.4916943009730779,0.3869818139186087,0.7993708368600314,1.2110612788115163,0.5261019881456099,0.020846913784386314
MagiNet,DoRAAdapter,0.49379855939960354,0.387170731996486,0.14926943227072814,0.8515716895681968,1.0,0.011330821468503
MagiNet,Backbone,0.49442383375234417,0.38824553248941834,0.0,0.0,,
SAITS,GenericAdapter,0.2626210890945324,0.13721604046832567,0.633054272169077,2.548485375920207,1.0,0.019072718337261547
SAITS,FailureAnomalyGuard,0.2632695639764762,0.1369913244059878,0.25859379288213197,1.1760585205356069,0.5270674487172915,0.014619831430379926
SAITS,CalibrationGuard,0.26342760596742093,0.13726695922469004,0.30517344754293785,1.8124936343769387,0.5220866485114832,0.0209242727222303
SAITS,Backbone,0.26416844815885554,0.13744666371346909,0.0,0.0,,
SAITS,DoRAAdapter,0.26507833373328443,0.13978965266481874,-0.010398425405229124,1.9798289611711706,1.0,0.013798507905767924


